"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Aria Exclusive Villas and Spa","4.6","359","Jl. Cendrawasih","Kabupaten Badung","Bali","ID","http://www.ariaexclusivevillas.com/","+62 361 4732588","Hotel Resor","Pondok",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aria%20Exclusive%20Villas%20and%20Spa&query_place_id=ChIJ9VkG5QxH0i0Rbw-ZWVqhom8","Hotel Resor"
"Aeera Villa Canggu by iNi Vie Hospitality","4.7","462","Gg. Semar No.8","Kabupaten Badung","Bali","ID","http://inivie.com/aeeravilla/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","+62 811-3960-7338","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aeera%20Villa%20Canggu%20by%20iNi%20Vie%20Hospitality&query_place_id=ChIJmSrO5Rc50i0RqHumj3Z9q9o","Vila"
"Berry Amour Romantic Villas","4.7","656","Seminyak, Jl. Batu Belig","Kabupaten Badung","Bali","ID","http://www.berryamourvillas.com/","+62 361 4737405","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Berry%20Amour%20Romantic%20Villas&query_place_id=ChIJKW_DnGtH0i0REym0jMVfGFM","Vila"
"Balicosy Villa","4.5","299","Jl. Pandawa No.3","Kabupaten Badung","Bali","ID","https://balicosy.com/","+62 813-3338-2301","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Balicosy%20Villa&query_place_id=ChIJH8wmC-BG0i0R3qBByRYDQRw","Vila"
"The Wolas Villa and Spa","4.5","443","Jl. Yudistira No.18","Kabupaten Badung","Bali","ID","http://www.thewolasvillas.com/","","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Wolas%20Villa%20and%20Spa&query_place_id=ChIJ7cTl-SJH0i0RWa_UXjp0RIA","Vila"
"Impiana Private Villas Seminyak","4.7","627","Jl. Kunti I No.118X","Kabupaten Badung","Bali","ID","https://www.impianaseminyak.com/","+62 361 730840","Vila","Hotel","Restoran","Spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Impiana%20Private%20Villas%20Seminyak&query_place_id=ChIJvXA6XyFH0i0RDaof_bE-QAs","Vila"
"Villa Finder","4.9","581","Jl. Dewi Sri No.14","Kabupaten Badung","Bali","ID","https://www.villa-finder.com/","+65 3105 1190","Biro Perjalanan dan Wisata","Agen Persewaan Rumah Peristirahatan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Finder&query_place_id=ChIJR_o-Pd1G0i0RGFQ2fueUvmM","Biro Perjalanan dan Wisata"
"Villa Vilah","4.9","57","8G7R+4MW, Jl. Sentalkangin","Kabupaten Klungkung","Bali","ID","http://kesumaexperience.com/","+62 812-3798-0989","Hotel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Vilah&query_place_id=ChIJRVHO_tFz0i0R0KiGFUIT8A8","Hotel"
"Papillon Umalas Villas","4.2","156","Jl. Raya Bumbak 100 Anyar Kelod, Jl. Umalas","Kabupaten Badung","Bali","ID",,"+62 815-5852-5650","Vila","Penginapan Dalam Ruangan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Papillon%20Umalas%20Villas&query_place_id=ChIJU-KX1nxH0i0Rwy9tageW0Tg","Vila"
"Villa Paradise Beach",,,,"Kabupaten Tabanan","Bali","ID","https://www.decolar.com/hoteis/h-924933","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Paradise%20Beach&query_place_id=ChIJVdr59Rcx0i0RctBHXl6BgZE","Vila"
"Villa Lux Tibubiu",,,,"Kabupaten Tabanan","Bali","ID","https://luxvilla.lodgify.com/listing/en/346900","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Lux%20Tibubiu&query_place_id=ChIJJ4eilyIx0i0RarASjGw6gmo","Vila"
"Black Beach Villa by X2 Lifestyle","4.8","49",,"Kabupaten Tabanan","Bali","ID","https://x2lifestyle.com/","+62 878-8989-8000","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Black%20Beach%20Villa%20by%20X2%20Lifestyle&query_place_id=ChIJhyrh-xcx0i0Rcm2NeFRxTkU","Vila"
"Bali Beach Mansion","4.6","56","Banjar Pasut","Kabupaten Tabanan","Bali","ID",,"+62 858-8580-8508","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bali%20Beach%20Mansion&query_place_id=ChIJ2Qva9K8x0i0RtyPMg4Vcm78","Vila"
"Spacious Luxury Villa Bali",,,,"Kabupaten Tabanan","Bali","ID",,"","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spacious%20Luxury%20Villa%20Bali&query_place_id=ChIJk0zb4Bkx0i0RAvjleFfATcM","Vila"
"Black Beach Villa - Absolute Beachfront Escape - Villa - Beach Front","4.45","8",,"Kabupaten Tabanan","Bali","ID",,"","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Black%20Beach%20Villa%20-%20Absolute%20Beachfront%20Escape%20-%20Villa%20-%20Beach%20Front&query_place_id=ChIJObwe_Bcx0i0R45G0DO9NdIg","Vila"
"Villa abian kapas beach house","4.8","4","Tim. 82162, Jalan Pantai Abian Kapas","Kabupaten Tabanan","Bali","ID","https://baligiga.com/","+62 812-2236-8566","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20abian%20kapas%20beach%20house&query_place_id=ChIJ5zbtOwAx0i0Rmv62rDPf7GY","Vila"
"Boutique Villas Breeze","5","9","Jalan Beraban Kauh","Kabupaten Tabanan","Bali","ID","https://www.villasbreeze.com/","+34 655 91 19 21","Hotel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Boutique%20Villas%20Breeze&query_place_id=ChIJ5xgVgE0x0i0Ru8smBZX0K1U","Hotel"
"Beachfront Villa Nixie and the Sea","3.9","16","Br.Pasut","Kabupaten Tabanan","Bali","ID","http://nixie.tilda.ws/","+62 821-2207-7240","Vila","Rumah berlibur","Hotel","Motel",,,,,,,"https://www.google.com/maps/search/?api=1&query=Beachfront%20Villa%20Nixie%20and%20the%20Sea&query_place_id=ChIJ0RyERoYx0i0RUGjJWfFpxvQ","Vila"
"Primavera villa with 7 bedrooms",,,,"Kabupaten Tabanan","Bali","ID","https://deals.vio.com/?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D22408414%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Primavera%20villa%20with%207%20bedrooms&query_place_id=ChIJGWHEUREx0i0RFMEgjId2-mg","Vila"
"Villa Keong","5","7",,"Kabupaten Tabanan","Bali","ID","https://www.villa-finder.com/en/tabanan/villa-keong","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Keong&query_place_id=ChIJ00evrSMx0i0RaMFPESQSSwk","Vila"
"Villa Babar - Villa - Beach Front","4.55","7",,"Kabupaten Tabanan","Bali","ID","https://br.bluepillow.com/search/63989df6c551970d3c720553/35677305?dest=bkng&cat=Villa&lat=-8.55465&lng=115.02668&language=pt","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Babar%20-%20Villa%20-%20Beach%20Front&query_place_id=ChIJC3M-shMx0i0RY2OE64bd86I","Vila"
"Most Exotic Beachfront Villa Keong","4.8","22",,"Kabupaten Tabanan","Bali","ID",,"","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Most%20Exotic%20Beachfront%20Villa%20Keong&query_place_id=ChIJgQ22rSMx0i0R7VgZ-l80d9Q","Vila"
"Villa Maya Pasut","5","2","Banjar Pasut","Kabupaten Tabanan","Bali","ID","https://villamayapasut.com/","+62 811-3855-855","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Maya%20Pasut&query_place_id=ChIJaYfnvVAx0i0R7X3q9xUQoYQ","Vila"
"The Cloud Bali Villa",,,,"Kabupaten Tabanan","Bali","ID","https://www.zenhotels.com/go/rooms/10125680/?partner_slug=google.affiliate.d21a&utm_medium=cpc-metasearch&utm_source=google_vr","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Cloud%20Bali%20Villa&query_place_id=ChIJE2CeTCIx0i0RJ73yAiidOYA","Vila"
"Beraban Beach House - Five Bedroom Villa with Private Pool - Beach Front","4.85","7",,"Kabupaten Tabanan","Bali","ID","https://br.bluepillow.com/search/5b2db4237c00cb1cd4690a08?dest=bkng&cat=Villa&lat=-8.55349&lng=115.02306&language=pt","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beraban%20Beach%20House%20-%20Five%20Bedroom%20Villa%20with%20Private%20Pool%20-%20Beach%20Front&query_place_id=ChIJ9WZYyhIx0i0RPCosyWmChvk","Vila"
"Villa Leona by Nakula","5","1",,"Kabupaten Tabanan","Bali","ID",,"","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Leona%20by%20Nakula&query_place_id=ChIJc18IX3Ix0i0RSpi96C2Y7as","Vila"
"Beraban Beach House","4.2","45",,"Kabupaten Tabanan","Bali","ID",,"","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beraban%20Beach%20House&query_place_id=ChIJ8eOFKAAx0i0RkLj055XPpxU","Vila"
"Original Villa Pryaniki",,,,"Kabupaten Tabanan","Bali","ID",,"","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Original%20Villa%20Pryaniki&query_place_id=ChIJF7HrTyIx0i0R6VCT-dXkZJQ","Vila"
"The Cloud Beachfront Villa Tabanan - Three-Bedroom Villa","5","4",,"Kabupaten Tabanan","Bali","ID","https://br.bluepillow.com/search/62df125bba454484938a5b8a?dest=bkng&cat=Villa&lat=-8.56339&lng=115.03867&language=pt","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Cloud%20Beachfront%20Villa%20Tabanan%20-%20Three-Bedroom%20Villa&query_place_id=ChIJEVEvTCIx0i0RAQy-QnxALw0","Vila"
"Most Exotic Villa Keong Tabanan - Deluxe Villa","5","15",,"Kabupaten Tabanan","Bali","ID",,"","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Most%20Exotic%20Villa%20Keong%20Tabanan%20-%20Deluxe%20Villa&query_place_id=ChIJN3C6rSMx0i0Rew4B0_OIsZk","Vila"
"Villa Swarna Pasut Beach","4.3","3","C2QP+823","Kabupaten Tabanan","Bali","ID",,"","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Swarna%20Pasut%20Beach&query_place_id=ChIJG36vXVgx0i0R1vtberAGuro","Vila"
"Most Exotic Villa Keong Tabanan - Villa with Private Pool","5","7",,"Kabupaten Tabanan","Bali","ID","https://br.bluepillow.com/search/61ef0af3113b0ba9fb94a200/707297306?dest=bkng&cat=Villa&lat=-8.56392&lng=115.03831&language=pt","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Most%20Exotic%20Villa%20Keong%20Tabanan%20-%20Villa%20with%20Private%20Pool&query_place_id=ChIJN3C6rSMx0i0RW_EMqsBJhzg","Vila"
"WIWILA Rumah Pribadi","5","8","Jl. Bimasena No.1","Kabupaten Tabanan","Bali","ID",,"+62 818-0532-4914","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=WIWILA%20Rumah%20Pribadi&query_place_id=ChIJ2R6lAr8x0i0Rbt44tmZ2axM","Vila"
"Villa Tin Jalib Alhazi - Villa",,,,"Kabupaten Tabanan","Bali","ID","https://www.freecancellations.com/search/F2cjQQEGHHsHV1BVXlkEEggLD09oFwEU?lat=-8.5577&lng=115.03881&language=de","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Tin%20Jalib%20Alhazi%20-%20Villa&query_place_id=ChIJ99hSERkx0i0R7DT_zTX_oGI","Vila"
"Most Exotic Villa Keong Tabanan - Three-Bedroom Villa","5","14",,"Kabupaten Tabanan","Bali","ID",,"","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Most%20Exotic%20Villa%20Keong%20Tabanan%20-%20Three-Bedroom%20Villa&query_place_id=ChIJN3C6rSMx0i0Rsg81y6uXhyM","Vila"
"Villa Parisol",,,"C2XG+4CH","Kabupaten Tabanan","Bali","ID",,"","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Parisol&query_place_id=ChIJpYqwIFcx0i0RQ-1NhxWewCI","Vila"
"Villa Babar - Six-Bedroom Villa with Private Pool","4.55","7",,"Kabupaten Tabanan","Bali","ID","https://br.bluepillow.com/search/63989df6c551970d3c720553?dest=bkng&cat=Villa&lat=-8.55465&lng=115.02668&language=pt","","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Babar%20-%20Six-Bedroom%20Villa%20with%20Private%20Pool&query_place_id=ChIJCy1RthMx0i0RtVGVhqpBu5U","Vila"
"Indah Pancing",,,"C2PP+JP3, Jalan Raya Pasut","Kabupaten Tabanan","Bali","ID",,"+62 878-6253-3507","Pusat Perbelanjaan",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Indah%20Pancing&query_place_id=ChIJH4-nHAAx0i0RHlVQh3rRPq8","Pusat Perbelanjaan"
"Surf & Party - Hostel Somewhere Else","4.9","305","Jalan di tempat lain No.6","Kabupaten Badung","Bali","ID","http://www.elsewheresurfcamps.com/","+62 821-4409-2589","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Surf%20%26%20Party%20-%20Hostel%20Somewhere%20Else&query_place_id=ChIJtQS0RHk40i0Rg_BDXNPar48","Hostel"
"The Lazy Lama Hostel Uluwatu","4.9","150","Gg. Sari Artha No.12","Kabupaten Badung","Bali","ID",,"+62 813-5914-690","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Lazy%20Lama%20Hostel%20Uluwatu&query_place_id=ChIJSVOIWwBF0i0RU13IEm9UWa4","Hostel"
"Best Canggu Hostel","4.8","585","Jl. Kayu Tulang Perum Puri Sambandha No.A12","Kabupaten Badung","Bali","ID","http://bestcangguhostel.com/","+62 877-3552-0032","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Best%20Canggu%20Hostel&query_place_id=ChIJq6oeku040i0Rxw-ueoe2LT4","Hostel"
"Lushy Hostel - Canggu","4.4","404","Jl. Munduk Tengah Br. Pengembungan No.11B","Kabupaten Badung","Bali","ID","https://lushyhostels.com/","+62 821-4572-1085","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lushy%20Hostel%20-%20Canggu&query_place_id=ChIJ1XuENnA40i0RmGPRXGMS1Ks","Hostel"
"Nyaman Hostel","4.7","446","Jl. Canggu Padang Linjong No.69","Kabupaten Badung","Bali","ID",,"+62 813-3857-0869","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nyaman%20Hostel&query_place_id=ChIJo7SZ4XE50i0RqbtQpDQ8eTw","Hostel"
"Lay Day Surf Hostel","4.8","1114","Jl. Pantai Batu Mejan Jl. Canggu Padang Linjong No.14B","Kabupaten Badung","Bali","ID","https://www.staylayday.com/home","+62 812-3874-3411","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lay%20Day%20Surf%20Hostel&query_place_id=ChIJj-DiXmI40i0RiImmw9yjHjU","Hostel"
"Vasudha Hostel Canggu Bali","4.8","111","Jl. Kayu Tulang Gg. Ebony","Kabupaten Badung","Bali","ID","https://vasudhahostelcanggubali.com/","+62 881-0375-04834","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vasudha%20Hostel%20Canggu%20Bali&query_place_id=ChIJDWLIJAw50i0RdH8JziLZ9P0","Hostel"
"The Hostel Canggu","4.6","170","Gg. Tunjung No.46E","Kabupaten Badung","Bali","ID",,"+62 821-7784-9331","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Hostel%20Canggu&query_place_id=ChIJJTBAndA50i0ROSi7r9yODc4","Hostel"
"The Farm Hostel","4.4","439","Jl. Pantai Batu Bolong No.29","Kabupaten Badung","Bali","ID","http://thefarmhostel.com/","+62 813-5391-4948","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Farm%20Hostel&query_place_id=ChIJLZnScn040i0Re1qcio46z8A","Hostel"
"Interconnection Kuta Hostel","4.5","448","Jl. Kartika Plaza No.17X","Kabupaten Badung","Bali","ID","https://www.interconnectionbalikuta.com/","+62 811-3958-222","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Interconnection%20Kuta%20Hostel&query_place_id=ChIJrWXJ9pNF0i0RGm2Yg9s7KKk","Hostel"
"Kosone Hostel","4.8","331","Jl. Pantai Batu Bolong Gg. Canggu No.78","Kabupaten Badung","Bali","ID","https://www.kosonehostel.com/","+62 361 9069622","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kosone%20Hostel&query_place_id=ChIJVVVOVHg40i0RWk-hxkpnsn8","Hostel"
"The Tipsy Gypsy Hostel","4.7","205","Jl. Nelayan No.9B","Kabupaten Badung","Bali","ID","http://www.thetipsygypsyhostel.com/","+62 813-3903-8903","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Tipsy%20Gypsy%20Hostel&query_place_id=ChIJo4Z5zHg40i0Rymt53_Xb8zM","Hostel"
"Roomates Beach Hostel Canggu by Ini Vie Hospitality","4.7","703","Jl. Pantai Batu Bolong Gg. Bonton No.8A","Kabupaten Badung","Bali","ID","http://inivie.com/roomatescanggu/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","+62 812-3513-7889","Hostel","Hotel",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Roomates%20Beach%20Hostel%20Canggu%20by%20Ini%20Vie%20Hospitality&query_place_id=ChIJbyscyDw50i0R6RfMu1TavZE","Hostel"
"The Hide Hostel @ Canggu","4","264","Gg. Bima Jl. Pantai Batu Mejan No.9","Kabupaten Badung","Bali","ID","https://www.instagram.com/thehidehostel?igsh=NHExaHNwZWtvMmM3","+62 812-3481-1920","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Hide%20Hostel%20%40%20Canggu&query_place_id=ChIJH3L1Z2M40i0R47bsbVOb6sc","Hostel"
"MADEWITH hostel","5","40","Yeh Sumbul, Mendoyo","Kabupaten Jembrana","Bali","ID","https://www.booking.com/Share-YgAurY","+62 813-2580-0404","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MADEWITH%20hostel&query_place_id=ChIJk1WIX5XX0y0RXFWhhnlBRiM","Hostel"
"Pondok Taman Sari","5","21","F249+QG7","Kabupaten Tabanan","Bali","ID",,"+62 812-3984-330","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pondok%20Taman%20Sari&query_place_id=ChIJX0qcyn0x0i0RLCuj2W2a_ig","Hostel"
"Rumah nya nya",,,"F24H+JF8, Jl. Nyoman Kobot","Kabupaten Tabanan","Bali","ID",,"","Hostel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rumah%20nya%20nya&query_place_id=ChIJ0wMvfQAx0i0RcrsS_RlOlsk","Hostel"
"Pasar Seni Kuta","4.1","2112","Jl. Kartika Plaza No.18","Kabupaten Badung","Bali","ID","https://www.facebook.com/khoirurrahman45/","+62 819-9949-8239","Pasar tradisional",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pasar%20Seni%20Kuta&query_place_id=ChIJHzh4J6VG0i0R2zM8nmnVGG8","Pasar tradisional"
"Pasar Seni Sukawati (Sukawati Art Market)","4.4","11731","Jl. Raya Sukawati","Kabupaten Gianyar","Bali","ID",,"","Pasar","Tujuan Wisata",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pasar%20Seni%20Sukawati%20(Sukawati%20Art%20Market)&query_place_id=ChIJDUFsYSg-0i0RPD5Un_6vDpY","Pasar"
"Pasar Seni Ubud","4","3289","F7R7+W9X, Jl. Raya Ubud No.35","Kabupaten Gianyar","Bali","ID",,"","Pasar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pasar%20Seni%20Ubud&query_place_id=ChIJoQpF2-I90i0R7Q2a3ncHnUA","Pasar"
"PASAR SENI LEGIAN/LEGIAN ART MARKET","4.3","61","Jl. Melasti No.29B Blok B","Kabupaten Badung","Bali","ID",,"","Pasar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PASAR%20SENI%20LEGIAN%2FLEGIAN%20ART%20MARKET&query_place_id=ChIJd0wlkrZH0i0Ru7HPY1oS5JQ","Pasar"
"Kencana Art Market","4.6","124","Jl. Raya Legian No.357","Kabupaten Badung","Bali","ID",,"","Toko Suvenir","Toko Album Tempel",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kencana%20Art%20Market&query_place_id=ChIJjyjDwcZG0i0RB31F0nU4KFU","Toko Suvenir"
"Wake Bali Art Market","4","159","Jl. Kartika Plaza No.9","Kabupaten Badung","Bali","ID",,"+62 361 752750","Toko Suvenir","Toko",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wake%20Bali%20Art%20Market&query_place_id=ChIJmY-5nqNG0i0RJW9GqBYxtUM","Toko Suvenir"
"Arjuna Art Market","4.6","18","F7V6+2JR, Jl. Arjuna","Kabupaten Gianyar","Bali","ID",,"","Toko Suvenir",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Arjuna%20Art%20Market&query_place_id=ChIJXct18Vw90i0RdrHERXKKPgI","Toko Suvenir"
"PRIANKA UBUD ART MARKET","3.7","50","F7V6+FJQ, Jl. Kajeng","Kabupaten Gianyar","Bali","ID",,"","Pasar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PRIANKA%20UBUD%20ART%20MARKET&query_place_id=ChIJlQNzX9090i0RIjTKzxpUssk","Pasar"
"Ubud Art Market","5","1","Jl. Goutama No.1","Kabupaten Gianyar","Bali","ID",,"","Pasar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ubud%20Art%20Market&query_place_id=ChIJz6VGcwA90i0RciHBbu6Qp20","Pasar"
"HB Art Market Camden Uluwatu","2.9","48","Jl. Labuansait","Kabupaten Badung","Bali","ID",,"","Pasar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HB%20Art%20Market%20Camden%20Uluwatu&query_place_id=ChIJl52DMgBF0i0R8tV7SLHn8GM","Pasar"
"Drupadi art Market","4.6","51","Jl. Drupadi No.3","Kabupaten Badung","Bali","ID",,"","Pusat Perbelanjaan",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Drupadi%20art%20Market&query_place_id=ChIJ5eX6AABH0i0RnnAWBpAZye8","Pusat Perbelanjaan"
"Adi Mart Art Market","4.8","34","56VG+M2J, Jl. Pantai Mengiat","Kabupaten Badung","Bali","ID",,"","Toko Suvenir",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Adi%20Mart%20Art%20Market&query_place_id=ChIJX-r7BC5D0i0RgpODME1EaCU","Toko Suvenir"
"Bali Niki Art Market Canggu","3.7","75",,"Kabupaten Badung","Bali","ID",,"","Pusat Perbelanjaan",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bali%20Niki%20Art%20Market%20Canggu&query_place_id=ChIJWeeTjB450i0RC4I2cM-mAPg","Pusat Perbelanjaan"
